ElasticNet,LOF,0.228990418,131843.2167,363.1022125,290.3728156
XGBoost,LOF,0.250106879,128232.2859,358.0953587,286.4872106
Linear Regression,LOF,0.228823994,131871.6754,363.1413986,290.3539689
Bayesian Regression,LOF,0.228866605,131864.3887,363.1313657,290.3516379
Random Forest Regressor,LOF,0.196208353,137448.9743,370.741115,296.067221
GAM,LOF,0.250119886,128230.0617,358.0922531,286.2742999
KNN Regression,LOF,0.037923148,164515.8631,405.6055511,324.1177036
AdaBoost Regression,LOF,0.087339252,156065.6722,395.0514805,324.4906292
Lasso Regression,LOF,0.228832344,131870.2475,363.1394325,290.354499
Ridge Regression,LOF,0.228824233,131871.6345,363.1413423,290.353952
Decision Tree Regression,LOF,0.224580417,132597.3301,364.1391631,291.7231218
ElasticNet,Isolation Forest,0.191965771,123043.3951,350.7754198,279.7683482
XGBoost,Isolation Forest,0.203045709,121356.1978,348.3621647,278.592706
Linear Regression,Isolation Forest,0.192490222,122963.5342,350.6615665,279.6764259
Bayesian Regression,Isolation Forest,0.192429351,122972.8034,350.674783,279.6868062
Random Forest Regressor,Isolation Forest,0.13554353,131635.0907,362.815505,289.0911748
GAM,Isolation Forest,0.20298356,121365.6615,348.3757475,278.3532021
KNN Regression,Isolation Forest,-0.002394107,152639.5413,390.6911072,311.1466593
AdaBoost Regression,Isolation Forest,0.154208861,128792.8277,358.8771764,291.0862441
Lasso Regression,Isolation Forest,0.1924795,122965.1669,350.6638945,279.6788855
Ridge Regression,Isolation Forest,0.192489965,122963.5735,350.6616224,279.6764678
Decision Tree Regression,Isolation Forest,0.182244096,124523.7629,352.8792469,282.5122453
Ensemble (XGBoost + GAM),None,0.00637786,1711579.62,1308.273527,455.1001365
Ensemble (XGBoost + GAM),Z Score,0.235217831,128854.1777,358.9626411,285.914036
Ensemble (XGBoost + GAM),IQR,0.244369484,125875.5546,354.7894511,285.0572294
Ensemble (XGBoost + GAM),MAD,0.143641731,162860.3796,403.5596357,302.4388871
Ensemble (XGBoost + GAM),LOF,0.251993021,127909.7544,357.6447321,286.0689043
Ensemble (XGBoost + GAM),Isolation Forest,0.222357272,119805.35,346.1290944,276.8557513
